"","expr","time"
"1","loop_rQuarto_2()",856735504700
"2","loop_rQuarto_2()",845735536300
"3","loop_rMarkdown()",536674202200
"4","loop_rMarkdown()",546514058400
"5","loop_rQuarto_2()",833766821500
"6","loop_rQuarto_1()",1033178386501
"7","loop_rMarkdown()",633109902500
"8","loop_rMarkdown()",540899908700
"9","loop_rQuarto_1()",843504169200
"10","loop_rQuarto_2()",847447689700
"11","loop_rMarkdown()",551733032099
"12","loop_rQuarto_2()",855991072800
"13","loop_rQuarto_1()",851636725800
"14","loop_rQuarto_2()",862249874500
"15","loop_rQuarto_1()",845773603300
"16","loop_rQuarto_2()",849972404000
"17","loop_rMarkdown()",559310581600
"18","loop_rQuarto_2()",843168065000
"19","loop_rQuarto_1()",848473627000
"20","loop_rMarkdown()",548259929600
"21","loop_rMarkdown()",546816820201
"22","loop_rQuarto_1()",838775955900
"23","loop_rQuarto_1()",841142075201
"24","loop_rMarkdown()",556964214900
"25","loop_rQuarto_1()",862211406300
"26","loop_rQuarto_1()",840665859700
"27","loop_rMarkdown()",541707165100
"28","loop_rQuarto_2()",853308829100
"29","loop_rQuarto_2()",859034873300
"30","loop_rQuarto_1()",849455002600
